osm_id,latitude,longitude,name
828820634,4.1110371,-73.6332891,
1135712289,4.1236269,-73.6335602,
1135712475,4.1513249,-73.6377146,
1135712981,4.1520968,-73.628342,
1135713404,4.1521022,-73.6284609,
1135714219,4.1315506,-73.6291828,
1135715815,4.1491566,-73.6285035,
1135715834,4.1491736,-73.6286133,
1135715895,4.1328045,-73.6337,
1135717203,4.1472086,-73.6172134,
1135717547,4.1313455,-73.6279861,
1135717616,4.147363,-73.62942,
1135718465,4.131269,-73.6289945,
1135718789,4.1411852,-73.6209687,
1135721215,4.1235359,-73.6336058,
1135728749,4.1071181,-73.6508087,
1135728905,4.1314101,-73.6290688,
1135729244,4.1490397,-73.6285073,
1135730802,4.134763,-73.622482,
1135730829,4.131699,-73.6304357,
1135730994,4.1469181,-73.6172839,
1135731081,4.1469576,-73.636351,
1135731119,4.1476361,-73.6198893,
1135731267,4.1475424,-73.619905,
1135731986,4.1475613,-73.6200264,
1135732756,4.1461595,-73.6357176,
1135732843,4.1525475,-73.6354719,
1135733938,4.1490533,-73.6286154,
1135734302,4.1298447,-73.638292,
1135734457,4.1471407,-73.6172976,
1135734951,4.1389688,-73.6213428,
1135735586,4.1411753,-73.6210984,
1135735608,4.1460196,-73.6357458,
1135735741,4.1348601,-73.6225592,
1135736405,4.1090591,-73.6546729,
1135736977,4.1474532,-73.6294813,
1141000286,4.1312461,-73.6279196,
1230072264,4.1153276,-73.6303121,
1232475844,4.1329067,-73.6336603,
1234207684,4.1390349,-73.6213296,
1240035714,4.1385843,-73.602885,
1703541484,4.1473124,-73.6172547,
2495637899,4.115355,-73.6302295,
2495667965,4.1154649,-73.6303509,
3207113834,4.1318227,-73.6303958,
3214723587,4.1154915,-73.6302692,
3255896496,4.1469372,-73.6364454,
5186774436,4.1159863,-73.6343408,
5186774463,4.1158084,-73.6343734,
5186774466,4.111035,-73.6331928,
5186774482,4.1181454,-73.6387461,
5186774483,4.1182716,-73.6386662,
5667765139,4.1092353,-73.6384716,
5999198015,4.11094,-73.6332718,
7095900112,4.1109361,-73.6331731,
8317079783,4.1315784,-73.6376993,
8317201298,4.1323299,-73.6322973,
8317282762,4.1390551,-73.6214157,
8317282763,4.138994,-73.6214284,
8317282810,4.1298057,-73.6380022,
8944758053,4.1091142,-73.6547703,
9274756145,4.1159342,-73.6342442,
9274756146,4.1157634,-73.6342782,
9683510122,4.1338553,-73.6367527,
9683510123,4.1338761,-73.6367457,
9683510128,4.1338509,-73.6364882,
9683510129,4.1338622,-73.6364836,
13643676818,4.1493132,-73.6366432,
13643676819,4.149461,-73.6363932,
13643676820,4.1494725,-73.6363902,
13643676822,4.1489845,-73.6351482,
13643676823,4.1489395,-73.6350635,
13643676824,4.1490465,-73.6350087,
13643676825,4.1490943,-73.6350968,
